,title,text,sents,coherence_per_sent,cohesion_per_sent,consistency_per_sent,relevance_per_sent
0,Most advertisements make products seem much better than they really are.,"Advertisements are a good way to sell products. In fact, they can make products look much better than they really are. Therefore, they can make them look different sizes and more beautiful. First, tricking customers' eyes is a really good way to get more money. First, you can make your product smaller or bigger than it is just to make it look the desired to people. For example, I remember a TV show that was unbelievable to win a sports car if anyone answered the question shown on the screen. However, the question was so easy that I was going to call them. I saw alot of people calling them; in fact, the TV show got alot of money from the people calling it. A person won the sports car, finally, and he was so happy. However, the funny thing is that the car was a really small car. Actually, it was a kid's car toy. Therefore, they showed the car, and everyone thought that it was a real car with a real engine, but that tricked everybody even me. I think that this is a smart way of marketing products. Second, advertisements make the products look more nice and beautiful. In fact, they use professional and careful workers who can handle the product without making any mistakes that let the people notice any disadvantages of it. For instance, i saw a knife advertisement. The knife seemed so sharp. that was just because of the careful workers. however, when i tried the knife in my home i broke it. In brief, advertisements make changes to the product size and make it more useful.","[""Advertisements are a good way to sell products. In fact, they can make products look much better than they really are. Therefore, they can make them look different sizes and more beautiful. First, tricking customers' eyes is a really good way to get more money. First, you can make your product smaller or bigger than it is just to make it look the desired to people. For example, I remember a TV show that was unbelievable to win a sports car if anyone answered the question shown on the screen. However, the question was so easy that I was going to call them. I saw alot of people calling them; in fact, the TV show got alot of money from the people calling it. A person won the sports car, finally, and he was so happy. However, the funny thing is that the car was a really small car. Actually, it was a kid's car toy. Therefore, they showed the car, and everyone thought that it was a real car with a real engine, but that tricked everybody even me. I think that this is a smart way of marketing products. Second, advertisements make the products look more nice and beautiful. In fact, they use professional and careful workers who can handle the product without making any mistakes that let the people notice any disadvantages of it. For instance, i saw a knife advertisement. The knife seemed so sharp. that was just because of the careful workers. however, when i tried the knife in my home i broke it."", 'In brief, advertisements make changes to the product size and make it more useful.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
1,"In twenty years, there will be fewer cars in use than there are today.","There will be quite fewer cars in use twenty years from now, surely. Nowadays, there are trends not having any cars, encouraging the use of public transportation, and the attempts to invent more effective transportation. It is due to many contemporary car problems : Serious traffic jams, environmental pollution and a lack of oil. First of all, one of the reasons I expect fewer cars in the future is that the traffic jams on our roads are incredibly severe now. In some countries like Korea, the land is very densely populated, there are excessive cars on the road, there are traffic jams even on the highway. Not only for Korea, it is a worldwide problem. Many countries are suffering from traffic jams. The government will surely make policies to try to reduce car populations and traffic jams. And one other problem as serious as the above is the environmental thing. Cars cause pollution in many ways, most seriously, the engine gas of cars makes the sky foggy and dirty. It causes contagious eye diseases, and respiratory problems. In addition, it promotes global warming which is making mankind very afraid. The carbon dioxide in the engine gas makes the heat from the sun not able to get out of the earth. And then the water level rises and covers the available land of us.","['There will be quite fewer cars in use twenty years from now, surely. Nowadays, there are trends not having any cars, encouraging the use of public transportation, and the attempts to invent more effective transportation. It is due to many contemporary car problems : Serious traffic jams, environmental pollution and a lack of oil. First of all, one of the reasons I expect fewer cars in the future is that the traffic jams on our roads are incredibly severe now. In some countries like Korea, the land is very densely populated, there are excessive cars on the road, there are traffic jams even on the highway. Not only for Korea, it is a worldwide problem. Many countries are suffering from traffic jams. The government will surely make policies to try to reduce car populations and traffic jams. And one other problem as serious as the above is the environmental thing. Cars cause pollution in many ways, most seriously, the engine gas of cars makes the sky foggy and dirty. It causes contagious eye diseases, and respiratory problems. In addition, it promotes global warming which is making mankind very afraid. The carbon dioxide in the engine gas makes the heat from the sun not able to get out of the earth.', 'And then the water level rises and covers the available land of us.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
2,Young people enjoy life more than older people do.,"It is commonly said that young people enjoy life more than older people do however there are so many many points we have to consider before agreeing or disagreeing with such opinions First, and most importantly in my opinion it depends on the person 's character rather than his age. Some people prefer a sedentary life style ,like working ,going home , watching TV. etc. These people never get to have social life or they tend to keep it as minimal as possible. Here I am giving an example of a younger person who would not enjoy much of life when he was young so when they grow older and retire ,they do not really have much hobbies or interests in their life so they would definitely say that young people enjoy life more probably because mainly when they leave home ,it is related to work.","[""It is commonly said that young people enjoy life more than older people do however there are so many many points we have to consider before agreeing or disagreeing with such opinions First, and most importantly in my opinion it depends on the person 's character rather than his age. Some people prefer a sedentary life style ,like working ,going home , watching TV. etc. These people never get to have social life or they tend to keep it as minimal as possible."", 'Here I am giving an example of a younger person who would not enjoy much of life when he was young so when they grow older and retire ,they do not really have much hobbies or interests in their life so they would definitely say that young people enjoy life more probably because mainly when they leave home ,it is related to work.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
3,Successful people try new things and take risks rather than only doing what they already know how to do well.,"Trying new things and taking risks is a good way to improve your skills and knowledge. you can have more benefits than only doing what you know. Therefore, successful people try new things and take risks rather than only doing what they already know how to do well. Trying to do new things will give you a lot of benefits. Also, it will improve your skills which will help you in your career. Moreover, you can try new things by studying and improving your education. one person who has the privilege of not having a career or a salary as one receives a high certificate. Taking risks can also make you a successful person. You can enter new projects, which will receive a lot of money from you.","['Trying new things and taking risks is a good way to improve your skills and knowledge. you can have more benefits than only doing what you know. Therefore, successful people try new things and take risks rather than only doing what they already know how to do well. Trying to do new things will give you a lot of benefits. Also, it will improve your skills which will help you in your career. Moreover, you can try new things by studying and improving your education. one person who has the privilege of not having a career or a salary as one receives a high certificate. Taking risks can also make you a successful person.', 'You can enter new projects, which will receive a lot of money from you.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
4,Young people enjoy life more than older people do.,Everyone wants to enjoy life and live happily. We are all different and can not be the same in appearances and preferences.,"['Everyone wants to enjoy life and live happily.', 'We are all different and can not be the same in appearances and preferences.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
5,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"People learned a lot of kinds of knowledge in their schools. Education is a necessary point for all people to have a good life. There are many controversial topics about school and teaching methods. The statement ""It is more important for students to understand ideas and concepts than it is for them to learn facts "" is also a big topic in education. I have studied since I was a child, and I have expenses of many kinds of teaching methods.","['People learned a lot of kinds of knowledge in their schools. Education is a necessary point for all people to have a good life. There are many controversial topics about school and teaching methods. The statement ""It is more important for students to understand ideas and concepts than it is for them to learn facts "" is also a big topic in education.', 'I have studied since I was a child, and I have expenses of many kinds of teaching methods.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
6,Successful people try new things and take risks rather than only doing what they already know how to do well.,"Mankind always needs to succeed to achieve good life standards therefore success is a very important aspect of human life. Everyone has a different point of views about the idea of success. People who want to be successful need to try new things and need to find different ways. These are the following reasons. Firstly,if someone reaches the thing which he wants to do for the first time, then it is not about being successful,but about being lucky. The best example of this is Thomas Edison. He tried to find the electricity for several times,but he did not think that he would not be able to invite it. He always tried and tried. He said that,`I have tried millions of times to find the electricity,but I never gaveup trying. I am happy that I can know the ways which I can`t be successful withthis finding. `It means,taking the risks on the way which goes to being successful is the best idea for finding the right way. He managed it because he took all the risks on this way. In addition to this,taking risks to be successful is very important to manage what is wanted to do. If someone wants to cook very well,then they need to make distasteful foods first. People need to try new things.","['Mankind always needs to succeed to achieve good life standards therefore success is a very important aspect of human life. Everyone has a different point of views about the idea of success. People who want to be successful need to try new things and need to find different ways. These are the following reasons. Firstly,if someone reaches the thing which he wants to do for the first time, then it is not about being successful,but about being lucky. The best example of this is Thomas Edison. He tried to find the electricity for several times,but he did not think that he would not be able to invite it. He always tried and tried. He said that,`I have tried millions of times to find the electricity,but I never gaveup trying. I am happy that I can know the ways which I can`t be successful withthis finding. `It means,taking the risks on the way which goes to being successful is the best idea for finding the right way. He managed it because he took all the risks on this way. In addition to this,taking risks to be successful is very important to manage what is wanted to do. If someone wants to cook very well,then they need to make distasteful foods first.', 'People need to try new things.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
7,Successful people try new things and take risks rather than only doing what they already know how to do well.,"For some people, you will succeed in your life just by taking risks. And it is right, in a certain way. In fact, our society shows admiration for these kinds of people. But we have to go deeply into this field to demonstrate another side of this way of life if we are living. First of all, let us consider in which way taking risks could be a good strategy. If you are used to taking risks by trying new things, you will become more and more famous. In that respect, our society is proud of these kinds of behaviour. For example, you didn't pass your exams when you were young. But you succeed in building your own business. Then, journalists put forward your activities and all the risks you are able to take. Thanks to these articles, you will become famous. Due to these sides, this strategy seems very attractive. But, some people, in order to become more and more famous, will take too many risks. people who adopt this strategy have to be very careful. On the other hand, we trend to forget the negative sides of this strategy. Actually, if you take risks to succeed in your life, it will cause issues such as financial issues.","[""For some people, you will succeed in your life just by taking risks. And it is right, in a certain way. In fact, our society shows admiration for these kinds of people. But we have to go deeply into this field to demonstrate another side of this way of life if we are living. First of all, let us consider in which way taking risks could be a good strategy. If you are used to taking risks by trying new things, you will become more and more famous. In that respect, our society is proud of these kinds of behaviour. For example, you didn't pass your exams when you were young. But you succeed in building your own business. Then, journalists put forward your activities and all the risks you are able to take. Thanks to these articles, you will become famous. Due to these sides, this strategy seems very attractive. But, some people, in order to become more and more famous, will take too many risks. people who adopt this strategy have to be very careful. On the other hand, we trend to forget the negative sides of this strategy."", 'Actually, if you take risks to succeed in your life, it will cause issues such as financial issues.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
8,It is better to have broad knowledge of many academic subjects than to specialize in one specific subject.,"I agree with this statement. I think that broad knowledge of many academic subjects is important for several experiences. Also, it is useful in several situations. First of all, I think that people who have knowledge about anything are respected by other people. If the teacher knows not only English but also science, when he or she is asked by his or her students, he or she can answer smoothly.","['I agree with this statement. I think that broad knowledge of many academic subjects is important for several experiences. Also, it is useful in several situations. First of all, I think that people who have knowledge about anything are respected by other people.', 'If the teacher knows not only English but also science, when he or she is asked by his or her students, he or she can answer smoothly.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
9,Successful people try new things and take risks rather than only doing what they already know how to do well.,"People make new things, invent new things that may become popular but if they don't improve their things or try new things somebody is more interesting than them and people forget the success that they had earlier times. As a result of it Bill Gates, the richest man in the world, will be publishing new types of programs every month or every two months. Because he doesn't want to lose his reputation and there are so many companies that want to see their programs make a better profit than him, sell more copies than Microsoft, Bill Gates' company, does. So he wants his company to keep improving and to make new products for computer users. Also a basketball or a soccer player needs to improve himself and try to add new things to his playing style. Because if they don't try new moves and make regular moves that they are doing all the time, the opponent can control them easily, the defender can defend them easily. And if they keep playing in the same way they can't have an effect on the match so even if they can be cut from the team and broke. In soccer, Ronaldinho who is the best player for this Decade for a lot of people says that he is so successful because he improves himself everyday and keeps looking for new dribbling skills that when a defender sees them in a match defender will be surprised and he will get passed thedefender easily. In conclusion, i think that successful people should try new things rather than doing the same thing over and over again. So that they can't be just wannabes and people love them and love what they do. As we can see many real examples of this.","[""People make new things, invent new things that may become popular but if they don't improve their things or try new things somebody is more interesting than them and people forget the success that they had earlier times. As a result of it Bill Gates, the richest man in the world, will be publishing new types of programs every month or every two months. Because he doesn't want to lose his reputation and there are so many companies that want to see their programs make a better profit than him, sell more copies than Microsoft, Bill Gates' company, does. So he wants his company to keep improving and to make new products for computer users. Also a basketball or a soccer player needs to improve himself and try to add new things to his playing style. Because if they don't try new moves and make regular moves that they are doing all the time, the opponent can control them easily, the defender can defend them easily. And if they keep playing in the same way they can't have an effect on the match so even if they can be cut from the team and broke. In soccer, Ronaldinho who is the best player for this Decade for a lot of people says that he is so successful because he improves himself everyday and keeps looking for new dribbling skills that when a defender sees them in a match defender will be surprised and he will get passed thedefender easily. In conclusion, i think that successful people should try new things rather than doing the same thing over and over again. So that they can't be just wannabes and people love them and love what they do."", 'As we can see many real examples of this.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
