,title,text,sents,coherence_per_sent,cohesion_per_sent,consistency_per_sent,relevance_per_sent
0,Young people enjoy life more than older people do.,"To answer this question , i will organize it in two parts. The first part will explain who i think young people enjoy life more than older people, and (even if i'm not so old) the second part will explain how i think older people can appreciate life more than younger  people. We all remember the first time , the first time we made love, the first time we went to highschool, the first time we smoked a cigarette. I think this is one of the reasons we might say younger people can appreciate life in a more intensive way than the olders, just because everything they do is known. Teenage years are the period where you have lots of experiences, it's an adventure, you discover all the time. I remember my teenage years. It was kind of amazing and i think i would never be able to experience the same feelings i've experienced during this period. i was always going to partys, when i was 15 me and my friend would go to a night club and everything had an important impact on me because it was known.","[""To answer this question , i will organize it in two parts. The first part will explain who i think young people enjoy life more than older people, and (even if i'm not so old) the second part will explain how i think older people can appreciate life more than younger  people. We all remember the first time , the first time we made love, the first time we went to highschool, the first time we smoked a cigarette. I think this is one of the reasons we might say younger people can appreciate life in a more intensive way than the olders, just because everything they do is known. Teenage years are the period where you have lots of experiences, it's an adventure, you discover all the time. I remember my teenage years. It was kind of amazing and i think i would never be able to experience the same feelings i've experienced during this period."", 'i was always going to partys, when i was 15 me and my friend would go to a night club and everything had an important impact on me because it was known.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
1,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"I disagree that it is more important for students to understand ideas and concepts than it is for them to learn facts. Facts have more varied phonemes and are interesting for students to understand. It is more interesting to see the facts than just memorize the ideas and the concepts. People are more likely to see the phononems than to read a book. For example, in a chemistry class, if the teachers intend to show the reaction in front of the students. , what will they do? They prefer to do the experiment more than just talk about it and let the students imagine. It is the easiest way to show the process of the reaction, like the colors, sounds, smell. Also, it has the variety of facts which can attract the students' attention. If a teacher does not use the facts in class, the students might feel tedious and bored listening. At that time, they will move their attention to other things. They will cause bad effects to understand the knowledge. In conclusion, it is interesting to use facts more than memorize them. It is also a good way to help the student to remember the method by proving it through the facts. Sometimes people might not understand what the teacher is talking about in class. They need better improvement to improve their understanding.","[""I disagree that it is more important for students to understand ideas and concepts than it is for them to learn facts. Facts have more varied phonemes and are interesting for students to understand. It is more interesting to see the facts than just memorize the ideas and the concepts. People are more likely to see the phononems than to read a book. For example, in a chemistry class, if the teachers intend to show the reaction in front of the students. , what will they do? They prefer to do the experiment more than just talk about it and let the students imagine. It is the easiest way to show the process of the reaction, like the colors, sounds, smell. Also, it has the variety of facts which can attract the students' attention. If a teacher does not use the facts in class, the students might feel tedious and bored listening. At that time, they will move their attention to other things. They will cause bad effects to understand the knowledge. In conclusion, it is interesting to use facts more than memorize them. It is also a good way to help the student to remember the method by proving it through the facts. Sometimes people might not understand what the teacher is talking about in class."", 'They need better improvement to improve their understanding.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
2,The best way to travel is in a group led by a tour guide.,"Personally speaking, I don't think the best way to travel is in a group led by a guide. Firstly,travel is a course for relaxation and fun for sight seeing. If we do everything in the trips followed by someone,it just looks like working as usual. when I take a trip by myself or with my friends ,we can go everywhere we want,we can eat everything we like. We talk and laugh loudly,and we enjoy myself.","[""Personally speaking, I don't think the best way to travel is in a group led by a guide. Firstly,travel is a course for relaxation and fun for sight seeing. If we do everything in the trips followed by someone,it just looks like working as usual. when I take a trip by myself or with my friends ,we can go everywhere we want,we can eat everything we like."", 'We talk and laugh loudly,and we enjoy myself.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
3,Young people enjoy life more than older people do.,"People usually think that young people enjoy life more than older people do. But I do not agree with  that. In my opinion older people enjoy life more than youngpeople. Firstly, today, people in the world are more and more. As a young man, they will find a lot of challenges, that means older people can not think. I am a young person, I was born in China, there are too many people. I was a student , I left school in july. In my university, there are one million people. Today, we are friends, but when we leave school, we will fight each other. Secondly, young people should have their own house. But it is too expensive to buy for young people, who leave school just now. Parents stayed at home, although the government would give them some money each month, it was not enough. Yong people must give their parents money to help them. But a young man will have his child also. Thirdly, young people have a lot of friends, some of them are classmates at school, some of them are new friends when they work. They will have some partty, it is a lunge spending. I am a worker now, I will gain 2500 RMB pre-month, which includes all of mine. Give some money to my parents, a part to the house owner, a part to the phone, some to spend on friendship. I have none.","['People usually think that young people enjoy life more than older people do. But I do not agree with  that. In my opinion older people enjoy life more than youngpeople. Firstly, today, people in the world are more and more. As a young man, they will find a lot of challenges, that means older people can not think. I am a young person, I was born in China, there are too many people. I was a student , I left school in july. In my university, there are one million people. Today, we are friends, but when we leave school, we will fight each other. Secondly, young people should have their own house. But it is too expensive to buy for young people, who leave school just now. Parents stayed at home, although the government would give them some money each month, it was not enough. Yong people must give their parents money to help them. But a young man will have his child also. Thirdly, young people have a lot of friends, some of them are classmates at school, some of them are new friends when they work. They will have some partty, it is a lunge spending. I am a worker now, I will gain 2500 RMB pre-month, which includes all of mine. Give some money to my parents, a part to the house owner, a part to the phone, some to spend on friendship.', 'I have none.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
4,It is better to have broad knowledge of many academic subjects than to specialize in one specific subject.,"In my opinion, having broad knowledge of many academic subjects is more important than specializing in one specific subject. In other words, I think one should do the former first, then do the latter. From my experience, I insist like that and I can explain more details. First, we can easily find a good example through the system of education. You go to elementary school and start to study there. Following middle and high school, you may learn various things through many kinds of subject. After that, you could find your specific talent or concern, dedicate yourself to that. It means learning basic and common things first, and then concentrating on something special chosen after that. Second, it's my regrettable story. I neglected studying when I was a high school student. As a result of that, I selected the wrong major which was mechanical engineering for my bachelor's degree. Anyway now I am a military officer and preparing to enter into post graduate school for public policy majors. I could say this route is paved way. If I had been diligent in learning many academic things when I was in high school, I could have found the right specific subject for me and followed the shortest and effective way to be myself nowadays. Lastly, specializing early may make one be partial. As balanced nutrition is very important for toddlers, balanced learning for young people.","[""In my opinion, having broad knowledge of many academic subjects is more important than specializing in one specific subject. In other words, I think one should do the former first, then do the latter. From my experience, I insist like that and I can explain more details. First, we can easily find a good example through the system of education. You go to elementary school and start to study there. Following middle and high school, you may learn various things through many kinds of subject. After that, you could find your specific talent or concern, dedicate yourself to that. It means learning basic and common things first, and then concentrating on something special chosen after that. Second, it's my regrettable story. I neglected studying when I was a high school student. As a result of that, I selected the wrong major which was mechanical engineering for my bachelor's degree. Anyway now I am a military officer and preparing to enter into post graduate school for public policy majors. I could say this route is paved way. If I had been diligent in learning many academic things when I was in high school, I could have found the right specific subject for me and followed the shortest and effective way to be myself nowadays. Lastly, specializing early may make one be partial."", 'As balanced nutrition is very important for toddlers, balanced learning for young people.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
5,Young people enjoy life more than older people do.,"Although both young and older people can live a fascinating life, I think that young people enjoy life more than older people. This may be because young people have wonderful dreams about life, they are healthier, and finally, they have less responsibilities. Having dreams and aims is one of the most important things that make young people more enjoyable in life. Young people have many goals that they want to achieve, for example they want to achieve good education, a high position. Also, they dream of a wonderful wife/husband and a happy life, and they make their best efforts to achieve these dreams. Expecting and anticipation of a better future is a main source of happiness. Some, may argue that older people also have dreams and goals, but ,in my opinion, they face and experience real life which may be hard and disappointing. Another factor is, health is very important to enjoy life. When you are in good health, you can do any thing. You can make any effort you want, any kind of sport, any activity. Illness can cause the person to be disappointed and unhappy. When you are ill, you should take care of your health; you should not do any hard activity, any excessive exertion, and can only do some kinds of sports.","['Although both young and older people can live a fascinating life, I think that young people enjoy life more than older people. This may be because young people have wonderful dreams about life, they are healthier, and finally, they have less responsibilities. Having dreams and aims is one of the most important things that make young people more enjoyable in life. Young people have many goals that they want to achieve, for example they want to achieve good education, a high position. Also, they dream of a wonderful wife/husband and a happy life, and they make their best efforts to achieve these dreams. Expecting and anticipation of a better future is a main source of happiness. Some, may argue that older people also have dreams and goals, but ,in my opinion, they face and experience real life which may be hard and disappointing. Another factor is, health is very important to enjoy life. When you are in good health, you can do any thing. You can make any effort you want, any kind of sport, any activity. Illness can cause the person to be disappointed and unhappy.', 'When you are ill, you should take care of your health; you should not do any hard activity, any excessive exertion, and can only do some kinds of sports.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
6,Young people enjoy life more than older people do.,"Everyone in this life wants to live more so I think that we should enjoy our time living our lives. So I agree that young people enjoy their life more than older people. We know that when we are young we enjoy our time playing , studying and doing alot of things we cannot donow. There are several reasons for that , one reason is that , when we were children we had the freedom to do any things we needed ,also we had the power to live a happy and interesting lifestyle , we could be late for hours.","['Everyone in this life wants to live more so I think that we should enjoy our time living our lives. So I agree that young people enjoy their life more than older people. We know that when we are young we enjoy our time playing , studying and doing alot of things we cannot donow.', 'There are several reasons for that , one reason is that , when we were children we had the freedom to do any things we needed ,also we had the power to live a happy and interesting lifestyle , we could be late for hours.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
7,Successful people try new things and take risks rather than only doing what they already know how to do well.,"I agree with this statement that successful people try new things and take risks rather than only doing what they already know how to do well. Our common sense is not to try towad risk area. however, No trying new things means no new happening in our lives. As I read this statement, I remember the pastor Cho's story who established the full gospel church in Seoul. He started a small church in the country side which lived with many poor people. As his ministry grew, he moved to a bigger church. His church number was around 1000 numbers. God gave the vision to build a huge church which was available to participate in over 20,000 people. He didn't have money as well as huge space to build it at that time. He couldn't see any reasonable things to start it. It was big risk. It might be worse if it influenced his church numbers because all the elders of the church did not agree with his opinion. However, He began it against all environments and conditions. So some of the church numbers left from his church due to risk and the expectation of harsh punishment for the new church.","[""I agree with this statement that successful people try new things and take risks rather than only doing what they already know how to do well. Our common sense is not to try towad risk area. however, No trying new things means no new happening in our lives. As I read this statement, I remember the pastor Cho's story who established the full gospel church in Seoul. He started a small church in the country side which lived with many poor people. As his ministry grew, he moved to a bigger church. His church number was around 1000 numbers. God gave the vision to build a huge church which was available to participate in over 20,000 people. He didn't have money as well as huge space to build it at that time. He couldn't see any reasonable things to start it. It was big risk. It might be worse if it influenced his church numbers because all the elders of the church did not agree with his opinion. However, He began it against all environments and conditions."", 'So some of the church numbers left from his church due to risk and the expectation of harsh punishment for the new church.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
8,Young people nowadays do not give enough time to helping their communities.,"These days, young people do not give enough time to helping their communities. yes i agree with this. because the main point is they have no interest in helping others. some young people are giving enough time to help their communities. because they are interested in that. but these days young people are interested in going to the cinema whereas to help others. they are spending more time and more money on the enjoyable entertainment. but whereas in my opinion this is not true because,me and my friends have enough time to help my communities. we spend time doing that when we are free. So, now a days, young people prefer to enjoy themselves with their friends, familyand with others rather than to help in the communities. the young people should help the community. because it is very beneficial for communication and society. The main idea is that we help the community,by seeing our younger friends or any one,they may try to help the community. so that this will be increased by seeing one another. Finally, it supports the community. the help for the community is the main idea of me. because now adays no one is preffering to help others. because every one is having their own problems and every one is having a little bit of selfishness. so that they cant help the community. the young people now a days prefer to enjoy themselves rather than to help the community. if young people help the community the community will become good. the helping nature of the people should grow from childhood only. because if that grows from childwood they can help after that also. if it does not grow it is impossible to help at a young age. the young people these days are very joyous people. so that they cant help the other people. young people nowadays do not help enough for the communities. because the work pressure on them is very high,and some young students have no time to help the communities because of their studies. these are the main reasons why young people are helping or not helping in the communities. Some young people may help by words not by money. i think the words are very helpful for the development of the community. so young people should help their communities when they have time. if every younger person does this the community will become good. and it is useful for future community development. In my opinion, young people are not helping their communities,if they decide to help their communities the community becomesgood.","['These days, young people do not give enough time to helping their communities. yes i agree with this. because the main point is they have no interest in helping others. some young people are giving enough time to help their communities. because they are interested in that. but these days young people are interested in going to the cinema whereas to help others. they are spending more time and more money on the enjoyable entertainment. but whereas in my opinion this is not true because,me and my friends have enough time to help my communities. we spend time doing that when we are free. So, now a days, young people prefer to enjoy themselves with their friends, familyand with others rather than to help in the communities. the young people should help the community. because it is very beneficial for communication and society. The main idea is that we help the community,by seeing our younger friends or any one,they may try to help the community. so that this will be increased by seeing one another. Finally, it supports the community. the help for the community is the main idea of me. because now adays no one is preffering to help others. because every one is having their own problems and every one is having a little bit of selfishness. so that they cant help the community. the young people now a days prefer to enjoy themselves rather than to help the community. if young people help the community the community will become good. the helping nature of the people should grow from childhood only. because if that grows from childwood they can help after that also. if it does not grow it is impossible to help at a young age. the young people these days are very joyous people. so that they cant help the other people. young people nowadays do not help enough for the communities. because the work pressure on them is very high,and some young students have no time to help the communities because of their studies. these are the main reasons why young people are helping or not helping in the communities. Some young people may help by words not by money. i think the words are very helpful for the development of the community. so young people should help their communities when they have time. if every younger person does this the community will become good. and it is useful for future community development.', 'In my opinion, young people are not helping their communities,if they decide to help their communities the community becomesgood.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
9,It is better to have broad knowledge of many academic subjects than to specialize in one specific subject.,"I agree with this statement. I think that broad knowledge of many academic subjects is important for several experiences. Also, it is useful in several situations. First of all, I think that people who have knowledge about anything are respected by other people. If the teacher knows not only English but also science, when he or she is asked by his or her students, he or she can answer smoothly. And, they can answer their question. In my case, my English teacher has knowledge of anything. For example, he knows about the art, the history of the living, and the lives of other countries' tribes. When I talked with him about these subjects, I was surprised and thought that I could learn various things from him as my teacher. I can ask the question that I can't answer , and everytime, he responds tomy question. Therefore, I respect him because he is intelligent. In addition, if people know that, they can use their knowledge anytime. For example, when they are forced to write an essay about the subjects that I mentioned before, they can write it without researching.","[""I agree with this statement. I think that broad knowledge of many academic subjects is important for several experiences. Also, it is useful in several situations. First of all, I think that people who have knowledge about anything are respected by other people. If the teacher knows not only English but also science, when he or she is asked by his or her students, he or she can answer smoothly. And, they can answer their question. In my case, my English teacher has knowledge of anything. For example, he knows about the art, the history of the living, and the lives of other countries' tribes. When I talked with him about these subjects, I was surprised and thought that I could learn various things from him as my teacher. I can ask the question that I can't answer , and everytime, he responds tomy question. Therefore, I respect him because he is intelligent. In addition, if people know that, they can use their knowledge anytime."", 'For example, when they are forced to write an essay about the subjects that I mentioned before, they can write it without researching.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
