,title,text,sents,coherence_per_sent,cohesion_per_sent,consistency_per_sent,relevance_per_sent
0,Young people enjoy life more than older people do.,"60% of people who work do not have time for entertainment because of their work. They can not do anything about this. So I think young people will enjoy life more because they have a lot of free time, they are healthier and they and they usually do not have children. The young people have a lot of free time, and their life will not be affected if they waste it.","['60% of people who work do not have time for entertainment because of their work. They can not do anything about this. So I think young people will enjoy life more because they have a lot of free time, they are healthier and they and they usually do not have children.', 'The young people have a lot of free time, and their life will not be affected if they waste it.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
1,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"Understanding ignorance is far more important than knowing the facts. understanding is the best way to learn said by my teacher. humans developed years together by understanding rather than knowing the facts from the early stone age we understand concepts rather than knowing ,for example we came to know about fire, by rubbing two stones together thus understanding the process of combustionby using stones. we cant simply rely on the subject by knowing but for understanding it. for example every one knows about the law of conservation of energy,a person who understands applied in the form of electricity or mechanical engine. A student who got good marks in an examination ca not become a good engineer or doctor or infact, be good at his or her career but a person who can apply it to his career can be good. Thus, application is important for a student who comes with an understanding of the subject. A practical understanding of the subject is preferred rather than simply knowing it ,this is the reason why nowadays education orl study is based on formal work rather than simply class room teaching. each and every course of today whether you take a science or art or technology project and the field work isintroduced. The concept of understanding does not give us success in profession but also helps us get better in our subjects which we do not want to get for our lifetime. this doesnt happen simply by knowing. a student should not apply this to the study but also to the various aspects ofdaily life. this can better not only a person's life but also his relations with other people thus ultimately his life stands are also increased. this aspect cannot be overlooked. Opposing side should be made to be taught in the schooling stage itself. finally understanding makes perfect not only good academically but also in life. fe.","[""Understanding ignorance is far more important than knowing the facts. understanding is the best way to learn said by my teacher. humans developed years together by understanding rather than knowing the facts from the early stone age we understand concepts rather than knowing ,for example we came to know about fire, by rubbing two stones together thus understanding the process of combustionby using stones. we cant simply rely on the subject by knowing but for understanding it. for example every one knows about the law of conservation of energy,a person who understands applied in the form of electricity or mechanical engine. A student who got good marks in an examination ca not become a good engineer or doctor or infact, be good at his or her career but a person who can apply it to his career can be good. Thus, application is important for a student who comes with an understanding of the subject. A practical understanding of the subject is preferred rather than simply knowing it ,this is the reason why nowadays education orl study is based on formal work rather than simply class room teaching. each and every course of today whether you take a science or art or technology project and the field work isintroduced. The concept of understanding does not give us success in profession but also helps us get better in our subjects which we do not want to get for our lifetime. this doesnt happen simply by knowing. a student should not apply this to the study but also to the various aspects ofdaily life. this can better not only a person's life but also his relations with other people thus ultimately his life stands are also increased. this aspect cannot be overlooked. Opposing side should be made to be taught in the schooling stage itself. finally understanding makes perfect not only good academically but also in life."", 'fe.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
2,It is more important for students to understand ideas and concepts than it is for them to learn facts.,Every one knows that when we are learning we learn facts and ideas. No one in the world can change the facts because facts are facts.,"['Every one knows that when we are learning we learn facts and ideas.', 'No one in the world can change the facts because facts are facts.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
3,It is better to have broad knowledge of many academic subjects than to specialize in one specific subject.,"In my opinion, having broad knowledge of many academic subjects is more important than specializing in one specific subject. In other words, I think one should do the former first, then do the latter. From my experience, I insist like that and I can explain more details. First, we can easily find a good example through the system of education. You go to elementary school and start to study there. Following middle and high school, you may learn various things through many kinds of subject. After that, you could find your specific talent or concern, dedicate yourself to that. It means learning basic and common things first, and then concentrating on something special chosen after that. Second, it's my regrettable story. I neglected studying when I was a high school student. As a result of that, I selected the wrong major which was mechanical engineering for my bachelor's degree. Anyway now I am a military officer and preparing to enter into post graduate school for public policy majors.","[""In my opinion, having broad knowledge of many academic subjects is more important than specializing in one specific subject. In other words, I think one should do the former first, then do the latter. From my experience, I insist like that and I can explain more details. First, we can easily find a good example through the system of education. You go to elementary school and start to study there. Following middle and high school, you may learn various things through many kinds of subject. After that, you could find your specific talent or concern, dedicate yourself to that. It means learning basic and common things first, and then concentrating on something special chosen after that. Second, it's my regrettable story. I neglected studying when I was a high school student. As a result of that, I selected the wrong major which was mechanical engineering for my bachelor's degree."", 'Anyway now I am a military officer and preparing to enter into post graduate school for public policy majors.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
4,Successful people try new things and take risks rather than only doing what they already know how to do well.,"I agree with the statement which is ""Successful people try new things and take risks rather than only doing what they already know how to do well. ""Why do I agree with that statement? First, because of the population. Many people try to succeed in one subject so the rate of competition is very high. If people who have knowledge as well as general people, they cannot be on top in the major. Second, if people who want to succeed are afraid of taking risks, they mentally or verbally cannot move from the point where they are now. They should take risks and get knowledge and experience from risks. They have to grow up with their knowledge and experiences. That's why I agree with the statement. There are a lot of people who want to succeed with the same major. Even in one school there are a lot of festivals.","['I agree with the statement which is ""Successful people try new things and take risks rather than only doing what they already know how to do well. ""Why do I agree with that statement? First, because of the population. Many people try to succeed in one subject so the rate of competition is very high. If people who have knowledge as well as general people, they cannot be on top in the major. Second, if people who want to succeed are afraid of taking risks, they mentally or verbally cannot move from the point where they are now. They should take risks and get knowledge and experience from risks. They have to grow up with their knowledge and experiences. That\'s why I agree with the statement. There are a lot of people who want to succeed with the same major.', 'Even in one school there are a lot of festivals.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
5,Young people nowadays do not give enough time to helping their communities.,Young people nowadays do not give enough time to helping their communities. This is undoubtedly true and i would absolutely agree with it. Today's generation have become more hardworking and sincere towards their career.,"['Young people nowadays do not give enough time to helping their communities. This is undoubtedly true and i would absolutely agree with it.', ""Today's generation have become more hardworking and sincere towards their career.""]","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
6,Successful people try new things and take risks rather than only doing what they already know how to do well.,"Creativity and innovation is an ongoing concern of the business entities. Recent activities such as new programs which aim to encourage people to use their creativity in the projects. Trying alternatives and gaining new perspectives will be efficient in reducing the risk of failing by progressing the potential to produce a solution to problems. Steady knowledge is important to maintain the status quo so that the person does not take risks in order to change the situation. Initially, people who are supervising a project have to see the situation from many aspects. The way it is to be achieved is directly correlated with how much they are experienced. the only way of increasing the experience is to try new alternatives and take risks to create a new solution. Making observations can not be as efficient as applying them and gaining experience. In addition, in daily life, people face new people and new situations which are not identical to each other. In any unwanted case, all of the previous knowledge can be helpful to some extent. if it is considered as a problem with many unknowns, changing any unknown will directly affect the result. As in our immune system, our body will respond to the invading pathogens more powerfully in subsequent exposures than the first one. Besides these, human beings can sometimes be on pursuit of new tastes in order to renew their lives and refresh their souls. life consisting of eating and sleeping is not worth living so how many years you lived can not be as important as how you lived. People who are afraid of taking risks to add up their lives in fact do not want to violate their identities. Therefore they continue to go in the way which they know well. however, there should be differences between human beings and plants in order to put them into other groups.","['Creativity and innovation is an ongoing concern of the business entities. Recent activities such as new programs which aim to encourage people to use their creativity in the projects. Trying alternatives and gaining new perspectives will be efficient in reducing the risk of failing by progressing the potential to produce a solution to problems. Steady knowledge is important to maintain the status quo so that the person does not take risks in order to change the situation. Initially, people who are supervising a project have to see the situation from many aspects. The way it is to be achieved is directly correlated with how much they are experienced. the only way of increasing the experience is to try new alternatives and take risks to create a new solution. Making observations can not be as efficient as applying them and gaining experience. In addition, in daily life, people face new people and new situations which are not identical to each other. In any unwanted case, all of the previous knowledge can be helpful to some extent. if it is considered as a problem with many unknowns, changing any unknown will directly affect the result. As in our immune system, our body will respond to the invading pathogens more powerfully in subsequent exposures than the first one. Besides these, human beings can sometimes be on pursuit of new tastes in order to renew their lives and refresh their souls. life consisting of eating and sleeping is not worth living so how many years you lived can not be as important as how you lived. People who are afraid of taking risks to add up their lives in fact do not want to violate their identities. Therefore they continue to go in the way which they know well.', 'however, there should be differences between human beings and plants in order to put them into other groups.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
7,Most advertisements make products seem much better than they really are.,"Some people think that most advertisements don't make products seem much better than they really are because some people think the appearance of products is more important than the quality of the products. However, in my opinion, I think most advertisements make products seem much better than they really are. There are three following reasons which can prove and give more examples for my personal opinion. The most important reason I think is that advertisements know what consumers think when theyare shopping. The outside of looking of products is the most important point people will think about buying the products. Therefore the advertisements spend more time designing what kind of look better for products then the time which they spend designing the inside of products. These points can help companies to get more money because they dont have to spend too much time on the inside of product design, and customers feel interested in products coming, so they buy them. Producing inside of products easier than making good design for outside looking is the second important reason which I have chosen to put here. I was doing a research paper which is about disguising how many times people usually spend on designing a new car. The research shows me that designing a new car engine should take more then five years at the least.","[""Some people think that most advertisements don't make products seem much better than they really are because some people think the appearance of products is more important than the quality of the products. However, in my opinion, I think most advertisements make products seem much better than they really are. There are three following reasons which can prove and give more examples for my personal opinion. The most important reason I think is that advertisements know what consumers think when theyare shopping. The outside of looking of products is the most important point people will think about buying the products. Therefore the advertisements spend more time designing what kind of look better for products then the time which they spend designing the inside of products. These points can help companies to get more money because they dont have to spend too much time on the inside of product design, and customers feel interested in products coming, so they buy them. Producing inside of products easier than making good design for outside looking is the second important reason which I have chosen to put here. I was doing a research paper which is about disguising how many times people usually spend on designing a new car."", 'The research shows me that designing a new car engine should take more then five years at the least.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
8,"In twenty years, there will be fewer cars in use than there are today.","NO,I don't agree with this statement. Because,now a days present - day technology is improved a lot. People are introducing four wheelers with different models and different infrastructure. Not only this four wheeler and two wheeleralso. Nowadays, buying a car has become a prestige issue. So, everyone goes to buy a car if they have enough money. Most people in society feel that if they have a car then only people respect them. Nowadays, there is no person without a car those who have enough money. People now a days only use cars in large numbers.","[""NO,I don't agree with this statement. Because,now a days present - day technology is improved a lot. People are introducing four wheelers with different models and different infrastructure. Not only this four wheeler and two wheeleralso. Nowadays, buying a car has become a prestige issue. So, everyone goes to buy a car if they have enough money. Most people in society feel that if they have a car then only people respect them. Nowadays, there is no person without a car those who have enough money."", 'People now a days only use cars in large numbers.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
9,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"It is true that students, today, are really more inclined to understand ideas and concepts than to learn the facts. Though it is not what is supposed to be can we blame the students? The education system in many countries, itself, requires it to be like that. And today world has nothing to do with the `facts` indeed. in many countries education systems are so restrictive and so close to development and research that students find themselves in an environment which is totally close to the facts. when using textbooks is the only option the students have and when they are expected to be successful in a kind of competition at the end of which the winner takes it all how can we expect the students to possibly try to reach for the facts? the system forges the students to be tend to get the ideas and concepts. In addition to that we live in a world which has nothing to do with the facts. for there is not a unique objective `fact`. the facts are made not occur any longer. all the facts are mere deceptions.","['It is true that students, today, are really more inclined to understand ideas and concepts than to learn the facts. Though it is not what is supposed to be can we blame the students? The education system in many countries, itself, requires it to be like that. And today world has nothing to do with the `facts` indeed. in many countries education systems are so restrictive and so close to development and research that students find themselves in an environment which is totally close to the facts. when using textbooks is the only option the students have and when they are expected to be successful in a kind of competition at the end of which the winner takes it all how can we expect the students to possibly try to reach for the facts? the system forges the students to be tend to get the ideas and concepts. In addition to that we live in a world which has nothing to do with the facts. for there is not a unique objective `fact`. the facts are made not occur any longer.', 'all the facts are mere deceptions.']","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}","{'sent0': False, 'sent1': True}"
