Filename,Prompt,Language,Score Level,original_essay,corrected_essay
1237588.txt,P8,ITA,medium,"I agree whit the statement that successful peolple try to do new things and not only what they are already good to do.
In my opinion this is a main aspect of a successful person, indeed successful people have the ability to understand what they can try to do even if they know that they already haven't the preparation to do that.
Someone can't became a real successful person if he does't try to risk.
He has to have the ability to understand that he can try to do something even if he does't know how to do that.
In modern society it is more difficult to rase over other people than some years ago, so people, who want success, have to go over their own limits to try if they are really able to do some thing.
It is like when someone bet, he doesn't know if he will win, but he knows that if he will win he will be happy and successful.
Nowadays there isn't so much space for weak people in the high levels of the society.
But there is  a big problem about this aspect of successful people, and it is a proplem for all the society.
I think doing this, there is a low quality of activity.
In other words, if someone stop to do something when he becomes able to do that, because he wants to do something else, there won't be a person able to do that work and so there will be less quality.


","I agree with the statement that successful people try to do new things and not only what they are already good at doing. In my opinion this is a main aspect of a successful person Indeed, successful people have the ability to understand what they can try to do even if they know that they already haven't the preparation to do it. Someone can't become a real successful person if he doesn't try to risk. He has to have the ability to understand that he can try to do something even if he does know how to do it. In modern society it is more difficult to raise over other people than some years ago, so people, who want success, have to go over their own limits to try if they are really able to do some thing. It is like when someone bets, he doesn't know if he will win, but he knows that if he will win he will be happy and successful. Nowadays there isn't so much space for weak people in the high levels of society. But there is a big problem with this aspect of successful people, and it is a problem for all society. I think doing this, there is a low quality of activity. In other words, if someone stops doing something when he becomes able to do that, because he wants to do something else, there won't be a person able to do that work and so there will be less quality. "
1265932.txt,P7,ZHO,medium,"In this topic, some student prefer learn the facts, others believe understand ideas and concepts is better. Nevertheless, I believe understand ideas is better than learn the facts.

First of all, students will usually choose to learn facts when they started the course. Because the facts is easily to understand and it is ineresting. But there are some disadvanage about learn facts. It hardly to catch the main ideas, students may only interesting on the stories, but didn't know the meanning. It can't happen when you take focus on the ideas or the concepts. Because the concepts and ideas are the standard about whole stories. 

In addition, students choose learning the ideas will help them faster to understand the content about this course. Although the facts can let them know how to use it on the society, it still limitied. However we can't refuse it can leads students get some experiences. It still not general for the students.

Finally, the facts may give students some misunderstanding about the course. The facts concluding different type of knowledge. They are all useful. But the knowledge which are concetin about the course may lead students to the wrong way. They may try to take more focus on other course. It is better to teach them the ideas and the concepts, couse the ideas and concepts can keep leading students on the correct way about the course.

Although I believe understand ideas is better than learn the facts, it still helpful to learn the facts. The facts can give students some experience to let them don't take the same mistake like the previous people. But the ideas and concepts are the key of the studying. It is the rule about the course.  
","In this topic, some students prefer learning facts, others believe understanding ideas and concepts is better. Nevertheless, I believe understanding ideas is better than learning the facts. First of all, students will usually choose to learn facts when they start the course. Because the facts are easily understood and it is interesting. But there are some disadvantages to learning facts. It is hard to catch the main ideas, students may only be interested in the stories, but didn't know the meaning. It can't happen when you focus on the ideas or the concepts. Because the concepts and ideas are the standard for whole stories. In addition, students choose learning the ideas will help them faster to understand the content of this course. Although the facts can let them know how to use it in society, it still limited. However we can't refuse it and it can lead to students getting some experience. It is still not general for the students. Finally, the facts may give students some misunderstanding about the course. The facts concluding different types of knowledge. They are all useful. But the knowledge which is discussed in the course may lead students to the wrong way. They may try to take more focus on other courses. It is better to teach them the ideas and the concepts, because the ideas and concepts can keep leading students in the correct way about the course. Although I believe understanding ideas is better than learning the facts, it is still helpful to learn the facts. The facts can give students some experience to let them not make the same mistake as the previous people. But ideas and concepts are the key to studying. It is the rule about the course. "
119361.txt,P5,ZHO,medium,"Cars have been playing an extremely important role in the society nowadays. While people are enjoying their obvious advantages, problems come companied with the convenience they bring.  More and more people are complaining about the air pollution that cars created. However, cars, as for me, will also exert an great impaction in human society in the future. And their number will not even decrease. On the contrary, the development of cars will be surprising and momentous.

Twenty years can be a long time or a short time, but the development of the quality of cars, including speed, security would be tremendously huge. People will definitely enjoy these obvious advantages in the thought of travelling more places in the world that has became smaller and smaller. And there are also other aspect in their development.

As you know, many institutes and countries have been doing researches to find a fuel that possess both efficiency and environmental benefits. Progress have been made in these researches. And fuels can replace the role of gasoline, whose quantity has been declining because of the explosion, have two main choices. First one, for me, is hydrogen, that can be fired and used for energy and can produce few substances that pollute the environment.  The next one is the usage of solar energy, a sort of energy that can be obtained from the sunlight using peculiar ways. 

After about twenty years, when these two kinds of energy can be used in cars, people would like to make a use of these cars under the thought to protect environment, and this thought, will be erected in ten years ascribed to the education that pay attention to the education in this area. 

Not only the improvement of the qualities of cars, but the usage of fuel leads me to believe that in twenty years, the number of cars will not decreased, but ascend in a large quantity due to both the improvement of the sence to protect public and natural environment and the usage of new fuel which will make cars the most effiencient and covenient means of transportation without polluting the environment.
","Cars have been playing an extremely important role in society nowadays. While people are enjoying their obvious advantages, problems come accompanied with the convenience they bring. More and more people are complaining about the air pollution that cars create. However, cars, as for me, will also exert a great influence on human society in the future. And their number will not even decrease. On the contrary, the development of cars will be surprising and momentous. Twenty years can be a long time or a short time, but the development of the quality of cars, including speed, security would be tremendously huge. People will definitely enjoy these obvious advantages in the thought of travelling to more places in the world that have become smaller and smaller. And there are also other aspects in their development. As you know, many institutes and countries have been doing research to find a fuel that possesses both efficiency and environmental benefits. Progress has been made in these research. And fuels can replace the role of gasoline, whose quantity has been declining because of the explosion, in two main choices. The first one, for me, is hydrogen, which can be fired and used for energy and can produce a few substances that pollute the environment. The next one is the usage of solar energy, a sort of energy that can be obtained from the sunlight using peculiar ways. After about twenty years, when these two kinds of energy can be used in cars, people would like to make a use of these cars under the thought of protecting the environment, and this thought, will be erected in ten years according to the education that pay attention to the education in this area. Not only the improvement of the quality of cars, but the usage of fuel leads me to believe that in twenty years, the number of cars will not decrease, but will ascend in a large quantity due to both the improvement of the sense to protect the public and natural environment and the usage of new fuels which will make cars the most efficient and convenient means of transportation without polluting the environment. "
241910.txt,P6,ZHO,medium,"Nowaday, an increasing number of people like travelling. Someone said that the best way to travel is in a group led by a tour guide, because the guide know the place deeply than the travellers, and a group of people will make more funs. But others think that travel with one or two people without a tour guide is more comfertable. And i'm one of them.
First of all, if you have a tour guide and a group of companiers, you will feel not very free. Travelling with a tour guide, the plan will be formerly ordered,somethings you want to see a other thing or want to go to another place will not be alloweded. You can't change the plan. But for me, the plan which is ordered by the travel company or the tour guide is not the plan i really like, but i can't change, because of the whole groud. That makes me feel very upset. And a large mount of people will have a large mount of oppinions. It's difficult to recognize the idea. And some people will not follow the rules. Once i joined a travelling group, but we have to wait for one or two people all the time after visiting some sceneries. I felt that's a waste of my time. 
Then, travelling with a group by a tour guide is always very busy, you can't visit one thing in a comfertable way, there's only limited time that you can stay in one place. The whole journey is in a quick pace that you can't enjoy it. And most of the tour guides will let you to some place whice they will get benifits from it. But this kind of place really wastes our life.
As a result, as for as i am concerned, i think travelling only will one or two best friend or relatives without a tour guide is more free and comfertable.
","Nowadays, an increasing number of people like travelling. Someone said that the best way to travel is in a group led by a tour guide, because the guide knows the place more deeply than the travellers, and a group of people will have more fun. But others think that travelling with one or two people without a tour guide is more comfortable. And i'm one of them. First of all, if you have a tour guide and a group of companions, you will not feel very free. Travelling with a tour guide, the plan will be formerly ordered, something you want to see another thing or want to go to another place will not be allowed. You can't change the plan. But for me, the plan which is ordered by the travel company or the tour guide is not the plan i really like, but i can't change, because of the whole ground. That makes me feel very upset. And a large number of people will have a large number of opinions. It's difficult to recognize the idea. And some people will not follow the rules. Once i joined a travelling group, but we had to wait for one or two people all the time after visiting some scenery. I felt that's a waste of my time. Then, travelling with a group by a tour guide is always very busy, you can't visit one thing in a comfortableway, there's only limited time that you can stay in one place. The whole journey is at a quick pace so that you can't enjoy it. And most of the tour guides will let you go to some place which they will get benefits from. But this kind of place really wastes our life. As a result, as for as i am concerned, i think travelling with only one or two best friends or relatives without a tour guide will be more free and comfortable. "
1630850.txt,P5,KOR,medium,"  There will be quite fewer cars in use twenty years later surely.  Nowadays, there are trends not having any cars, encouraging the use of public transportation, and the attempts to invent more effective transportation. It is due to  many contemporary car problems : Serious traffic jamming, environment pollution and lacking of oil. 

  First of all, one of the reasons I expect fewer cars in the future is that the traffic jam on our roads is incredibly severe now. In some countries like Korea, the land are very densely populated,  there are excessive cars on the road, there happens the traffic jamming even on the highway road. Not only for Korea, it is the worldwide problem. Many country are suffering from traffic jam. government will surely make policies to try to reduce car populations and traffic jam.

  And one other problem as serious as above is the environmental thing. Car causes pollution in many ways, most seriously, the engine gas of cars make the sky foggy and dirty. It causes contagious eye diseases, and respiratory problems. In adittion, it promotes the global warming which is making mankind very afraid of. The carbon dioxide in the engine gas make the heat from the sun not able to get out of the earth. And then the water level uprises and covers available land of us. Maybe we lose our whole earth to live. If cars won't decrease, there will happen a crisis of the entire human race.

  Moreover, the remnant oil and gas is decreasing now, and in about  40 years, there will be no oil to depend on. in present point of view, we can't live without oil and gas. They are used to make fabrics, circulating plants and factories, and more and more. If we use all of them driving car,  the thing will happen a lot sooner. So till we have a great resource to replace oil and gas, we should try to save it and invent other kind of transportions which are not taking any oil.

 In the points of view above, there are too many problms with abundance of cars. So for people to live, in the global view, they will not have cars. Ultimately we will be able to see not jamming roads and clearer sky with fewer cars in the road.

  
","There will be quite fewer cars in use twenty years from now, surely. Nowadays, there are trends not having any cars, encouraging the use of public transportation, and the attempts to invent more effective transportation. It is due to many contemporary car problems : Serious traffic jams, environmental pollution and a lack of oil. First of all, one of the reasons I expect fewer cars in the future is that the traffic jams on our roads are incredibly severe now. In some countries like Korea, the land is very densely populated, there are excessive cars on the road, there are traffic jams even on the highway. Not only for Korea, it is a worldwide problem. Many countries are suffering from traffic jams. The government will surely make policies to try to reduce car populations and traffic jams. And one other problem as serious as the above is the environmental thing. Cars cause pollution in many ways, most seriously, the engine gas of cars makes the sky foggy and dirty. It causes contagious eye diseases, and respiratory problems. In addition, it promotes global warming which is making mankind very afraid. The carbon dioxide in the engine gas makes the heat from the sun not able to get out of the earth. And then the water level rises and covers the available land of us. Maybe we will lose our whole earth to live on. If cars don't decrease, there will be a crisis of the entire human race. Moreover, the remnant oil and gas is decreasing now, and in about 40 years, there will be no oil to depend on. From the present point of view, we can't live without oil and gas. They are used to making fabrics, circulating plants and factories, and more and more. If we use all of them driving acar, the thing will happen a lot sooner. So till we have a great resource to replace oil and gas, we should try to save it and invent other kinds of transportation which do not use any oil. In the points of view above, there are too many problems with the abundance of cars. So for people to live, in the global view, they will not have cars. Ultimately we will be able to see not jamming roads and clearer sky with fewer cars on the road. "
393450.txt,P2,TUR,medium,"     Whether young or old, many people have expectations from life. They all want to enjoy life, be in a good manner for themselves. In my opinion, youbger people enjoy life more than the older ones. There lots of reasons or facts for young people to enjoy life more.
     Better physical conditions are good referrents to make young people enjoy life. Most of young young people know that they have a better physical condition than the olders. A young person generally knows that he or she has an undeformed body related with most of the olders and find himself or herself strong to perform a different job. For example they can play football whenever they want but the olders can not. Youngers can also try new and dangerous sports which make them feel exited. 
     Younger people know that their age is an advantage to be in a good manner. Being a young person I know I have a bigger chance to live more than the elders and that sometimes motivate. Before starting a hard job I know I can deal with that job as long as I want. If I face with difficulties, I can spare bigger time for my job.
    Nowadays, it is true that knowing less information about life, people are beterly motivated to their lives. It is important for people what they have learned during their life times but when a person realizes the things he or she had faced, he or she doesn't want to remember them. Thus young people have have less things to remember and as aresult, they don't think about life's difficulties.
     Young people have chances to see life easier and entertain. As I have mentioned above they can find ways to entertain. In coc
","Whether young or old, many people have expectations of life. They all want to enjoy life, be in a good way for themselves. In my opinion, younger people enjoy life more than older people. There are lots of reasons or facts for young people to enjoy life more. Better physical conditions are good references to make young people enjoy life. Most young young people know that they have a better physical condition than the olders. A young person generally knows that he or she has an undeformed body related to most of the olders and finds himself or herself strong enough to perform a different job. For example they can play football whenever they want but the olds can not. Youngers can also try new and dangerous sports which make them feel excited. Younger people know that their age is an advantage to be in a good manner. Being a young person I know I have a bigger chance to live more than the elderly and that sometimes motivates  me. Before starting a hard job I know I can deal with that job as long as I want. If I face difficulties, I can spare bigger time for my job. Nowadays, it is true that knowing less information about life, people are better motivated to their lives. It is important for people what they have learned during their lifetime, but when a person realizes the things he or she has faced, he or she doesn't want to remember them. Thus young people have fewer things to remember and as aresult, they don't think about life's difficulties. Young people have chances to see life more easily and enjoy themselves. As I have mentioned above they can find ways to entertain. In coc"
661192.txt,P8,FRA,medium,"Our society is a society of value. I mean people often like us for what we did rather than what we are. This statement allows people to try new things. That is why some people think successful people are this kind of people qnd that the other one are those who never take risk. Cqn we challenge this statement? We will see in which way this affirmation is true or false.

When people try new things, it is clear that they are showing their ability to create, to manage and to anticipate. If they took the right innovative decision, that-is-to say what they decided make them earn money for instance, they are going to be seen as succesful people. On the contrary, if they made up their mind in the wrong way, they are going to be blamed for, especially because they did not take the usual way. Acutally, take risk is dangerous and that is what we award when every thing goes right. Moreover, when a `right innovative decision` is taken, because of its creativness, it ;akes earn more money for instance because nobody thinks using it before. It is in that way that people are considered as successful. It is also because medias, which play a big part in our society only talk about particular people who, according to them, only succeding because of a revolutionary method, invention or way-of-managing.

On the oher side, we find people who not take risk. This people take usual desicions do not challenge what they have learned. Acutally, they know how to do well, and think they do not have to try new thing to do better. This people can also earn money, maybe without being on TV, but the result is the same. This behaviour corresponds to more quiet people qnd maybe who are afraid of tomorrow.

To conclude, I think that medias are the reason why people think successful people are those who take risk because they talk a lot of them. I think people have to bear in mind that even if TV only deals with people who succeed becquse of thir creativness, many who took risk are still in the dark.
","Our society is a society of value. I mean people often like us for what we did rather than what we are. This statement allows people to try new things. That is why some people think successful people are this kind of people and that the other ones are those who never take risks. Can we challenge this statement? We will see in which way this affirmation is true or false. When people try new things, it is clear that they are showing their ability to create, to manage and to anticipate. If they took the right innovative decision, that-is-to say what they decided make them earn money for instance, they are going to be seen as successfulpeople. On the contrary, if they made up their minds in the wrong way, they are going to be blamed for it, especially because they did not take the usual way. Actually, taking risks is dangerous and that is what we award when every thing goes right. Moreover, when a `right innovative decision` is taken, because of its creativness, it ; takes earn more money for instance because nobody thought of using it before. It is in that way that people are considered as successful. It is also because the media, which play a big part in our society only talk about particular people who, according to them, only succeed because of a revolutionary method, invention or way-of-managing. On the other hand, we find people who do not take risks. These people take usual practices and do not challenge what they have learned. Actually, they know how to do well, and think they do not have to try new things to do better. These people can also earn money, maybe without being on TV, but the result is the same. This behaviour corresponds to more quiet people and maybe those who are afraid of tomorrow. To conclude, I think that the media are the reason why people think successful people are those who take risks because they talk a lot about them. I think people have to bear in mind that even if TV only deals with people who succeed because of their creativity, many who take risks are still in the dark. "
1956355.txt,P1,HIN,medium,"It is always wise to have knowledge about a particular subject rather than knowing everything about every subject.We all are humans and have only a limited capacity to grasp things though there are exceptions.We can focus clearly and effectively on one particular topic at one time.Focusing is very important for a better result and that can only be possible if we exactly know what we are going to do next.
There are lot of people in this whole world who are effectively doing research on a particular topic of their interest and therefore are expected to give productive out comes because they are very much focused.They have enough time and energy to concentrate on a particular aspect of a research
also it is a very old saying that little knowledge is a dangerous thing and as we know that our brain has only some limited capacity so we cannot afford to have profoud knowledge of each and every subject and therefore this will only result in frustration .Also incomplete knowledge can proved to be dangerous and misguiding also.For example if a chemistry student tries to teach physics then he surely be less effective in explaining every point because he has only limited knowledge of the subject, this will be harmful for the students he is addresing and this is quite possible that something wrong can be construed from his teachings .Similarly a chemist cannot perform a physics experiment or vice versa and this can result in even accidents
Moreover if we assume that every person know everything about every subject then this will result in decrease in interaction among people and advancements in any field will be halted because we know more the number of brains working together ,more better is the outcome of the result
So in my view it is always beneficial to go more deep in a particular subject rather than having a superficial knowledge of all subjects because in that way an individual can benefit the society in a more effective manner and this is also neccesory por the satisfection of the individual that he is master of atleast something. 
","It is always wise to have knowledge about a particular subject rather than knowing everything about every subject. We are all humans and have only a limited capacity to grasp things though there are exceptions. We can focus clearly and effectively on one particular topic at one time. Focusing is very important for a better result and that can only be possible if we exactly know what we are going to do next. There are a lot of people in this whole world who are effectively doing research on a particular topic of their interest and therefore are expected to give productive outputs because they are very much focused. They have enough time and energy to concentrate on a particular aspect of research also it is a very old saying that little knowledge is a dangerous thing and as we know, our brain has only some limited capacity so we cannot afford to have profiled knowledge of each and every subject and therefore this will only result in frustration . Also incomplete knowledge can prove to be dangerous and misleadingalso. For example if a chemistry student tries to teach physics then he will surely be less effective at explaining every point because he has only limited knowledge of the subject, this will be harmful for the students he is addressing and it is quite possible that something wrong can be construed from his teachings . Similarly a chemist cannot perform a physics experiment or vice versa and this can result in even accidents Moreover if we assume that every person knows everything about every subject then this will result in a decrease in interaction among people and advancements in any field will be halted because we know more about the number of brains working together , better is the outcome of the result So in my view it is always beneficial to go deeper in a particular subject rather than having a superficial knowledge of all subjects because in that way an individual can benefit society in a more effective manner and this is also necessary por the satisfection of the individual that he is master of atleast something. "
1526310.txt,P4,KOR,medium,"  Some people say most advertisements make products seem better than they really are. I agree with it. When people watch a television, read newspape or walking on the street, they see a lot of advertises. Even though people don't concentrate about that, they already have influenced.
  The first problem is the company cheats the costomers. When the company make a commercial for selling product, they usually try to show there products as the best and they tell them only good points. Due to they made people beilive that products doesn't have any defects and costomers but it. However, there are also many bad points. It is one of the cheating.
  The other one is overconsumption. The commercial stumulates people want to get that products and actually they don't need it, but they buy it. Sometimes buying is caused to develop the economy, but typically it has to disappear.
  Third reason is cost. If they make an advertisement, they need money and when they make an advertisement that is looks better, they have to pay more. It is going to be caused the increase. 
The increase will poor people suffers from money.
  The purpose of companies is make money. Whereas they earn money, the people's saving decrease. The companies must make good products and after costomers will be able to judge it.    
","Some people say most advertisements make products seem better than they really are. I agree with this. When people watch television, read newspapers or walk in the street, they see a lot of advertisements. Even though people don't concentrate on that, they already have influenced. The first problem is the company cheats the customers. When the company makes a commercial for selling a product, they usually try to show their products as the best and they tell them only good points. Because they made people believe that products didn't have any defects and customers but it. However, there are also many bad points. It is one of the cheating. The other one is overconsumption. The commercial stimulates people to want to get those products and actually they don't need them, but they buy them. Sometimes buying is caused by developing the economy, but typically it has to disappear. The third reason is cost. If they make an advertisement, they need money and when they make an advertisement that looks better, they have to pay more. It is going to be caused by the increase. The increase will cause poor people to suffer from money. The purpose of companies is to make money. Whereas they earn money, people's savings decrease. The companies must make good products and after customers will be able to judge them. "
236812.txt,P7,ZHO,medium,"    In our  modern society with globle economy improving rapidly, it is very important to educate high quality students catering to the desire of the society. From my point of view, I totally disagree with the idea  that it is more important for students to understand ideas and concepts than it is for them to learn facts which will be discussed in the following paragraphs.
    To begin with, pure learning ideas and concepts makes students confused about the subjects. For instance, if a student just know the definition of something, he would think it is unchangable. But when he meets the changes of this concept, he will be confused about this. It is beacase he does not know about the realities. If he already has learned facts about this, he would face this in a proper way and not get into puzzle.
    In addition, students always get more interests in learning facts than just knowing the definition. In contrast with just knowing about the ideas and concepts, learning facts is more useful and attractive for students than learning some ideas and concepts just for understanding. That is to say, learning facts about the definitions is more interesting than knowing the concepts.
    Finally, learning facts could make students think in a realistic way and it is good for their future. It is absolutely much more useful for students to adapt the society and live in the world directly and more successfully. Because they already known the facts. Besides, students also can use the ideas properly or invent their own new ideas.
    In summary, it is obvious that ideas and concepts are much more important for student to learn than just understand for the reason of the clearity of the reality, student's interests on the subject and the benefits for their future. Therefore, it is strongly recommanded that students should learn facts from the ideas and concepts. It is very good for their mental healthy.
","In our modern society with a global economy improving rapidly, it is very important to educate high quality students catering to the desires of society. From my point of view, I totally disagree with the idea that it is more important for students to understand ideas and concepts than it is for them to learn facts which will be discussed in the following paragraphs. To begin with, pure learning ideas and concepts make students confused about the subjects. For instance, if a student just knows the definition of something, he would think it is unchangable. But when he meets the changes of this concept, he will be confused about this. It is because he does not know about the realities. If he had already learned facts about this, he would face this in a proper way and not get into a puzzle. In addition, students always get more interest in learning facts than just knowing the definition. In contrast with just knowing about the ideas and concepts, learning facts is more useful and attractive for students than learning some ideas and concepts just for understanding. That is to say, learning facts about the definitions is more interesting than knowing the concepts. Finally, learning facts could make students think in a realistic way and it is good for their future. It is absolutely much more useful for students to adapt to society and live in the world directly and more successfully. Because they already knew the facts. Besides, students can also use the ideas properly or invent their own new ideas. In summary, it is obvious that ideas and concepts are much more important for students to learn than just understanding for the reason of the clearness of the reality, student's interests in the subject and the benefits for their future. Therefore, it is strongly recommended that students should learn facts from the ideas and concepts. It is very good for their mental health. "
