id,topic,context,sentence,label
0,David Drops the Weight,David Drops the Weight,David always knew he had a lot of weight to lose.,0
0,David Drops the Weight,David always knew he had a lot of weight to lose.,"He loved his body, but it was starting to feel too heavy and cumbersome.",0
0,David Drops the Weight,"David always knew he had a lot of weight to lose. He loved his body, but it was starting to feel too heavy and cumbersome.","At first, David tried all the classic methods common among those looking to shed pounds- dieting and exercising regularly, but nothing was working.",0
0,David Drops the Weight,"David always knew he had a lot of weight to lose. He loved his body, but it was starting to feel too heavy and cumbersome. At first, David tried all the classic methods common among those looking to shed pounds- dieting and exercising regularly, but nothing was working.",The pounds kept piling up until finally he made the decision to take matters into his own hands and try a drastic change in lifestyle: going vegan.,0
0,David Drops the Weight,"David always knew he had a lot of weight to lose. He loved his body, but it was starting to feel too heavy and cumbersome. At first, David tried all the classic methods common among those looking to shed pounds- dieting and exercising regularly, but nothing was working. The pounds kept piling up until finally he made the decision to take matters into his own hands and try a drastic change in lifestyle: going vegan.","After doing some research on the vegan food available in grocery stores, David decided on a mix of plantains,Tempeh condo style foods that are low in sugar and calories, 276 mesh stainless steel nutrition bags with embedded seeds for healthy eating (he also ordered some Vegan Lean Sticks which add variety without added overheads), including 1 cup cooked black beans per day as well as water restrictions throughout the day increasing communication with breakfast/early dinner meals (to avoid cravings).",0
0,David Drops the Weight,"David always knew he had a lot of weight to lose. He loved his body, but it was starting to feel too heavy and cumbersome. At first, David tried all the classic methods common among those looking to shed pounds- dieting and exercising regularly, but nothing was working. The pounds kept piling up until finally he made the decision to take matters into his own hands and try a drastic change in lifestyle: going vegan. After doing some research on the vegan food available in grocery stores, David decided on a mix of plantains,Tempeh condo style foods that are low in sugar and calories, 276 mesh stainless steel nutrition bags with embedded seeds for healthy eating (he also ordered some Vegan Lean Sticks which add variety without added overheads), including 1 cup cooked black beans per day as well as water restrictions throughout the day increasing communication with breakfast/early dinner meals (to avoid cravings).",With this new lifestyle under control gatecrashed basement 218 social functions becoming more regimented each time someone arriving late makes an appearance would no longer bother him so much since dishes were already prepped; instead waiting at homeKFC every other night) − Mandi’s objections about continuing drinking post living review turned out not be such big deal after all; her health is improving from kitchen freshness.,0
1,Deadly,Deadly,"Once upon a time, there were seven deadly sins.",0
1,Deadly,"Once upon a time, there were seven deadly sins.",They lived together in a house and everything was perfect.,1
1,Deadly,"Once upon a time, there were seven deadly sins. They lived together in a house and everything was perfect.","But then one day, Pride decided that he wanted to be the leader of the group.",0
1,Deadly,"Once upon a time, there were seven deadly sins. They lived together in a house and everything was perfect. But then one day, Pride decided that he wanted to be the leader of the group.","He convinced Greed, Envy, Lust, Gluttony, Sloth and Wrath to overthrow Seventh Sin (who was the actual leader).",0
1,Deadly,"Once upon a time, there were seven deadly sins. They lived together in a house and everything was perfect. But then one day, Pride decided that he wanted to be the leader of the group. He convinced Greed, Envy, Lust, Gluttony, Sloth and Wrath to overthrow Seventh Sin (who was the actual leader).",It worked perfectly and soon enough they had control over all of the Sins.,0
1,Deadly,"Once upon a time, there were seven deadly sins. They lived together in a house and everything was perfect. But then one day, Pride decided that he wanted to be the leader of the group. He convinced Greed, Envy, Lust, Gluttony, Sloth and Wrath to overthrow Seventh Sin (who was the actual leader). It worked perfectly and soon enough they had control over all of the Sins.","However, things quickly went downhill from there.",0
1,Deadly,"Once upon a time, there were seven deadly sins. They lived together in a house and everything was perfect. But then one day, Pride decided that he wanted to be the leader of the group. He convinced Greed, Envy, Lust, Gluttony, Sloth and Wrath to overthrow Seventh Sin (who was the actual leader). It worked perfectly and soon enough they had control over all of the Sins. However, things quickly went downhill from there.",John made a mistakes.,0
