essay_id,topic,context,sentence,label
554713.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"I agree with the given statement. Let us first define what ""fact"" means.",The fact is one which is universally accepted and which does not have a solid reason for its belief.,1
450321.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"I think that it is more important for students to learn facts than it is for them to understand ideas and concepts. My choice is based on two reasons. The first reason is that, if you learn facts, you have direct contact with reality. For example, at university, you can learn more skills if you follow a laboratory than if you follow a lesson of theory. This is a good way not only for a student, but also for a worker. In fact, if a worker has worked all of the day, he or she learns more things than if he or she follows a lesson of theory. I know my uncle's experience can be taken as an example. In fact, he has followed a course to work in a chemistry industry, but he has learnt the real way of working only when he has started to work in the chemistry industry. The second reason is that learning facts helps a student to understand in a better way the contest in which he or she is studying. For example, I remember that, when I followed the course in the ""Way of Transport"", the professor helped me to build a naval motor not spoken of in how a naval motor is composed but he did to see me the naval motor and we built together.","To conclude, I don't agree with the sentence because it is not true that it is more important for students to understand ideas and concepts than for them to learn facts.",1
1955440.txt,Most advertisements make products seem much better than they really are.,"Advertisements make products seem much better than they really are. To sell a product, it has to have good promotion, advertisements sell the product because while showing the promotion of the product, the y are showing the best product ever, when sometimes it's just a big lie and sometimes it's the truth.",The main purpose of selling a product for the company is to show another thing better than what you sell.,1
1774785.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"I strongly disagree that students should understand ideas and concepts rather than learn facts. Currently, A lot of people do nt have a lot of time as much as a long time ago. Therefore, time has become very important in our student life. Even some people say "" Time is more important than Gold. The student also doesn't have time to. As a result a lot of students have just learned about only ideas and concepts.",Actually this way to study is easier and can savetime.,1
622011.txt,Successful people try new things and take risks rather than only doing what they already know how to do well.,"People have different ideas about whether success is to create new things or to do usual work. Doing what we already know how to do well doesn't make you different and does not make you happy comparing yourself with creating new things. I strongly agree that success is to create new things and take risks for several reasons. First of all, it is a great thing to be popular and different than others. For example, if some body creates a treatment for Canser and another one does his regular work who will succeed?. Ofcourse the first one because he creates new things which help sick people. So this person must be famous and every body will not want to work with them.","In addition, you can not be a real successful person if you take risks and adventures.",1
622011.txt,Successful people try new things and take risks rather than only doing what they already know how to do well.,"People have different ideas about whether success is to create new things or to do usual work. Doing what we already know how to do well doesn't make you different and does not make you happy comparing yourself with creating new things. I strongly agree that success is to create new things and take risks for several reasons. First of all, it is a great thing to be popular and different than others. For example, if some body creates a treatment for Canser and another one does his regular work who will succeed?. Ofcourse the first one because he creates new things which help sick people. So this person must be famous and every body will not want to work with them. In addition, you can not be a real successful person if you take risks and adventures. A person has to love his work to create new things and to succeed indeed. By taking risks you learn new useful things that help you in your life. My brother was in a running race and he not only won but also created a new personal best. He was very happy to take risks and score a new number. Last but not least, trying new things helps you to get more experience and self-confidence.",By doing these new things you will be prodded and everybody will love you.,1
1014998.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"Some people argue as if it were a general truth that understanding ideas and concepts is much more important than learning factors. But to be frank, I cannot agree with them. There are numerous reasons why I have no confidence in them, and I will explore a few primary ones here. To begin with, we can learn the ideas and concepts during studying factors. Teachers will be able to teach the student the ideas and concept by teaching a specific fact. Let's take a look at a physics class. At the very beginning , the teacher gives the class a specific problem, and asks them to solve it. The student might not be able to solve it, so the teacher could give some conceptional suggestions that could help to solve this problem and encourage them to think about it again. And this time, the students might know how to solve the actual problem and also learn the basic concept. Further more, why do we learn ideas and concepts ? For practical work, of course.","So, why don't we learn something that is more practical? Learning facts will lead us to work directly, and it would not waste a lot of time studying the boring theories or concepts, and this would save much more time.",1
1071263.txt,"In twenty years, there will be fewer cars in use than there are today.","I disagree with this opinion. I think, in twenty years there will be more cars in use than there are today. I have some reason to think about that. First, some companies are now inventing new cars, like hybrid cars, electric cars something like that. Actually we can see that kind of car on the road sometimes. We are also interested in cars that are good for the environment. The car industry will change their way of selling the car to customers. Of course, I think of the customer for the environment of the earth will change in this few years. Second, I think that physical translation is not convenient in countryside. For me, I live in the country side, I can not ride on the bus or train when I want. It is different between the big cities like Tokyo and small cities. So people who live in the country side, they use their own car now. I also use my own car. The number of cars in countryside has increased more than before. But on the other hand, now gasoline is so expensive.","If this situation continues, the number of cars may decrease.",1
426980.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"I agree with the given statement. From day to day experience as a student I can say, it is more important to understand ideas and concepts than to learn facts. Firstly, lets elaborate on it by citing an example. In maths, there are a few facts, based on which a student has to do sum.",But it is possible that only by learning the facts will the student be able to solve a given sum.,1
715272.txt,Successful people try new things and take risks rather than only doing what they already know how to do well.,"For some people, you will succeed in your life just by taking risks. And it is right, in a certain way. In fact, our society shows admiration for these kinds of people. But we have to go deeply into this field to demonstrate another side of this way of life if we are living. First of all, let us consider in which way taking risks could be a good strategy. If you are used to taking risks by trying new things, you will become more and more famous. In that respect, our society is proud of these kinds of behaviour. For example, you didn't pass your exams when you were young. But you succeed in building your own business. Then, journalists put forward your activities and all the risks you are able to take. Thanks to these articles, you will become famous. Due to these sides, this strategy seems very attractive. But, some people, in order to become more and more famous, will take too many risks. people who adopt this strategy have to be very careful. On the other hand, we trend to forget the negative sides of this strategy. Actually, if you take risks to succeed in your life, it will cause issues such as financial issues. For instance, you own a shop. You have to finance this shop, by getting a lot of money for it. If this shop doesn't work in the long run, you will have debts. It may lead to financial issues with your bank. According to me, it is a lack of consciousness, especially when you are in charge of a family. This argument is far from being useless. When you make the choice of taking risks to succeed in your life, you must be aware of this.","To sum up, I can't help thinking that taking risks is a very good strategy.",1
